City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Victoria,HK,2021-09-17 14:56:41,22.2855,114.1577,86.32,83,2,1.01,light rain
60,Leningradskiy,RU,2021-09-17 14:55:42,69.3833,178.4167,30.49,97,100,6.73,light snow
61,Hasaki,JP,2021-09-17 14:55:56,35.7333,140.8333,73.8,70,96,20.24,overcast clouds
62,Port Alfred,ZA,2021-09-17 14:55:45,-33.5906,26.891,60.31,59,33,12.08,scattered clouds
63,Nikolskoye,RU,2021-09-17 14:56:03,59.7035,30.7861,48.09,64,33,7.45,scattered clouds
64,Abha,SA,2021-09-17 14:58:20,18.2164,42.5053,78.62,50,40,16.11,scattered clouds
65,Hiriyur,IN,2021-09-17 14:58:21,13.9456,76.6192,77.77,70,11,12.21,few clouds
66,Ancud,CL,2021-09-17 14:55:31,-41.8697,-73.8203,50.43,83,77,12.5,light rain
67,Henties Bay,NA,2021-09-17 14:58:21,-22.116,14.2845,59.86,72,1,5.23,clear sky
68,Abong Mbang,CM,2021-09-17 14:58:21,3.9833,13.1833,72.36,92,100,3.51,light rain
69,Kodiak,US,2021-09-17 14:56:02,57.79,-152.4072,48.42,85,100,15.55,overcast clouds
70,Butaritari,KI,2021-09-17 14:54:38,3.0707,172.7902,82.2,70,77,14.92,broken clouds
71,Kadoma,JP,2021-09-17 14:58:22,34.7333,135.5833,73.38,93,100,1.88,heavy intensity rain
72,Reconquista,AR,2021-09-17 14:58:22,-29.15,-59.65,67.8,58,99,7.92,overcast clouds
73,Richards Bay,ZA,2021-09-17 14:56:31,-28.783,32.0377,64.78,67,10,17.0,clear sky
74,Bangkalan,ID,2021-09-17 14:58:23,-7.0455,112.7351,82.35,75,67,6.53,broken clouds
75,San Isidro,PE,2021-09-17 14:58:23,-12.1167,-77.05,62.26,81,90,1.01,overcast clouds
76,Sakakah,SA,2021-09-17 14:58:23,29.9697,40.2064,99.97,15,0,11.36,clear sky
77,Saskylakh,RU,2021-09-17 14:54:18,71.9167,114.0833,30.42,91,97,11.41,overcast clouds
78,Glendive,US,2021-09-17 14:58:24,47.1053,-104.7125,51.96,29,10,12.37,clear sky
79,Beringovskiy,RU,2021-09-17 14:57:18,63.05,179.3167,38.07,59,43,7.52,scattered clouds
80,Lompoc,US,2021-09-17 14:55:45,34.6391,-120.4579,58.57,89,90,0.0,mist
81,Thompson,CA,2021-09-17 14:53:23,55.7435,-97.8558,46.56,87,75,10.36,broken clouds
82,Te Anau,NZ,2021-09-17 14:58:24,-45.4167,167.7167,31.06,95,27,0.85,scattered clouds
83,Damghan,IR,2021-09-17 14:58:24,36.1683,54.348,82.06,15,0,6.76,clear sky
84,Khatanga,RU,2021-09-17 14:54:27,71.9667,102.5,28.33,89,21,7.87,few clouds
85,Jinka,ET,2021-09-17 14:58:25,5.65,36.65,72.52,66,57,2.53,broken clouds
86,Opuwo,NA,2021-09-17 14:58:25,-18.0607,13.84,89.69,10,2,16.55,clear sky
87,Vaini,TO,2021-09-17 14:54:30,-21.2,-175.2,71.76,100,20,3.44,few clouds
88,Zeya,RU,2021-09-17 14:58:26,53.75,127.2667,39.18,97,99,4.09,overcast clouds
89,Basoko,CD,2021-09-17 14:58:26,1.2391,23.616,82.44,60,95,3.29,overcast clouds
90,Ribeira Grande,PT,2021-09-17 14:54:41,38.5167,-28.7,73.8,83,40,12.66,scattered clouds
91,Awjilah,LY,2021-09-17 14:58:26,29.1081,21.2869,91.92,18,0,11.1,clear sky
92,Usinsk,RU,2021-09-17 14:57:45,65.9939,57.5281,39.51,79,99,19.53,overcast clouds
93,Saint-Philippe,RE,2021-09-17 14:55:43,-21.3585,55.7679,74.79,77,18,8.19,few clouds
94,Atuona,PF,2021-09-17 14:54:31,-9.8,-139.0333,77.58,71,12,20.36,few clouds
95,Kapit,MY,2021-09-17 14:58:27,2.0167,112.9333,73.51,99,82,1.21,broken clouds
96,Rafai,CF,2021-09-17 14:58:27,4.95,23.9167,76.21,76,98,3.29,light rain
97,Sawtell,AU,2021-09-17 14:58:27,-30.3833,153.1,57.22,88,20,6.91,few clouds
98,Hobart,AU,2021-09-17 14:54:40,-42.8794,147.3294,53.46,81,90,10.36,light rain
99,New Norfolk,AU,2021-09-17 14:54:45,-42.7826,147.0587,53.1,72,100,1.74,light rain
100,Marawi,PH,2021-09-17 14:57:57,7.9986,124.2928,66.65,91,100,2.68,moderate rain
101,Kalabo,ZM,2021-09-17 14:58:28,-14.97,22.6814,99.84,9,29,5.06,scattered clouds
102,Newala,TZ,2021-09-17 14:58:28,-10.9431,39.2787,81.66,40,39,12.44,scattered clouds
103,Banda Aceh,ID,2021-09-17 14:55:04,5.5577,95.3222,79.59,79,69,8.05,broken clouds
104,Muros,ES,2021-09-17 14:56:46,42.7762,-9.0603,66.83,79,94,8.72,overcast clouds
105,Ponta Do Sol,PT,2021-09-17 14:56:56,32.6667,-17.1,82.13,59,23,3.56,few clouds
106,Aizawl,IN,2021-09-17 14:58:29,23.7333,92.7167,65.57,99,100,1.12,overcast clouds
107,Karacakoy,TR,2021-09-17 14:58:29,41.4029,28.3834,78.64,46,50,8.79,scattered clouds
108,Albany,US,2021-09-17 14:54:25,42.6001,-73.9662,73.36,83,47,7.0,scattered clouds
109,Susa,TN,2021-09-17 14:58:30,35.8254,10.637,106.32,49,0,13.8,clear sky
110,Taoudenni,ML,2021-09-17 14:58:30,22.6783,-3.9836,108.63,13,100,6.11,overcast clouds
111,Nemuro,JP,2021-09-17 14:55:57,43.3236,145.575,58.03,78,100,14.76,light rain
112,Elko,US,2021-09-17 14:56:42,41.0002,-115.5012,59.27,26,0,1.43,clear sky
113,Kamenka,RU,2021-09-17 14:58:30,51.3223,42.7678,56.73,46,94,5.5,overcast clouds
114,Sabha,LY,2021-09-17 14:55:47,27.0377,14.4283,91.87,15,0,8.99,clear sky
115,Jamestown,US,2021-09-17 14:50:49,42.097,-79.2353,75.02,78,27,7.0,scattered clouds
116,Talnakh,RU,2021-09-17 14:57:16,69.4865,88.3972,39.99,70,10,5.19,clear sky
117,Puerto Ayora,EC,2021-09-17 14:54:20,-0.7393,-90.3518,69.76,95,100,1.99,overcast clouds
118,Qaanaaq,GL,2021-09-17 14:54:44,77.484,-69.3632,12.78,68,8,7.36,clear sky
119,Smithers,CA,2021-09-17 14:58:31,54.7804,-127.1743,39.52,93,90,5.75,mist
120,Ilhabela,BR,2021-09-17 14:58:32,-23.7781,-45.3581,68.63,92,100,10.4,overcast clouds
121,Kurilsk,RU,2021-09-17 14:57:23,45.2333,147.8833,50.23,87,100,10.78,overcast clouds
122,Fuyang,CN,2021-09-17 14:58:32,32.9,115.8167,72.27,88,82,6.24,light rain
123,San Cristobal,VE,2021-09-17 14:56:28,7.7669,-72.225,80.78,47,0,7.56,clear sky
124,Shingu,JP,2021-09-17 14:58:32,33.7333,135.9833,78.91,93,100,12.28,moderate rain
125,Kieta,PG,2021-09-17 14:57:32,-6.2167,155.6333,78.58,81,93,5.99,light rain
126,Souillac,MU,2021-09-17 14:55:39,-20.5167,57.5167,73.78,78,20,11.5,few clouds
127,Binga,ZW,2021-09-17 14:58:33,-17.6203,27.3414,91.71,22,10,6.6,clear sky
128,Nome,US,2021-09-17 14:56:01,64.5011,-165.4064,30.11,95,79,5.97,broken clouds
129,Pisco,PE,2021-09-17 14:54:53,-13.7,-76.2167,64.02,82,40,5.75,mist
130,Kathu,TH,2021-09-17 14:58:34,7.9178,98.3332,78.62,72,82,4.72,broken clouds
131,Praia,CV,2021-09-17 14:56:01,14.9215,-23.5087,84.74,65,20,12.66,few clouds
132,Miri,MY,2021-09-17 14:58:34,4.4148,114.0089,78.94,89,20,3.44,few clouds
133,Cockburn Town,TC,2021-09-17 14:52:44,21.4612,-71.1419,85.96,66,40,16.11,scattered clouds
134,Prince Rupert,CA,2021-09-17 14:58:11,54.3161,-130.3201,51.49,77,90,20.71,light rain
135,College,US,2021-09-17 14:58:34,64.8569,-147.8028,42.28,78,68,2.15,broken clouds
136,Paluan,PH,2021-09-17 14:58:35,13.416,120.4623,80.91,79,65,5.79,heavy intensity rain
137,Camalu,MX,2021-09-17 14:58:35,30.85,-116.0667,66.11,81,11,5.68,few clouds
138,East London,ZA,2021-09-17 14:55:33,-33.0153,27.9116,61.74,59,0,16.11,clear sky
139,Longyearbyen,SJ,2021-09-17 14:56:01,78.2186,15.6401,40.84,87,90,5.75,overcast clouds
140,Nelson Bay,AU,2021-09-17 14:58:35,-32.7167,152.15,60.12,81,82,1.01,light rain
141,Florianopolis,BR,2021-09-17 14:58:36,-27.6146,-48.5012,58.26,94,75,6.91,heavy intensity rain
142,Buritama,BR,2021-09-17 14:58:36,-21.0661,-50.1472,98.64,17,4,15.66,clear sky
143,Am Timan,TD,2021-09-17 14:58:36,11.0297,20.2827,79.61,84,100,7.45,moderate rain
144,Cidreira,BR,2021-09-17 14:55:35,-30.1811,-50.2056,62.71,88,83,17.02,broken clouds
145,Skjervoy,NO,2021-09-17 14:58:37,70.0311,20.9714,50.18,71,75,5.68,broken clouds
146,Saldanha,ZA,2021-09-17 14:55:28,-33.0117,17.9442,77.05,59,0,14.38,clear sky
147,Marystown,CA,2021-09-17 14:58:37,47.1666,-55.1483,62.01,58,21,4.18,few clouds
148,Cherskiy,RU,2021-09-17 14:56:39,68.75,161.3,38.75,85,100,4.97,overcast clouds
149,Ampanihy,MG,2021-09-17 14:58:37,-24.7,44.75,73.0,50,2,14.47,clear sky
150,Norman Wells,CA,2021-09-17 14:55:43,65.282,-126.8329,42.84,87,75,4.61,broken clouds
151,Mosetse,BW,2021-09-17 14:58:38,-20.75,26.65,91.4,15,5,12.41,clear sky
152,Seydi,TM,2021-09-17 14:58:38,39.4816,62.9137,87.21,9,0,9.62,clear sky
153,Pierre,US,2021-09-17 14:58:39,44.3683,-100.351,65.05,86,0,4.0,clear sky
154,Virginia Beach,US,2021-09-17 14:56:19,36.8529,-75.978,80.04,89,86,1.01,overcast clouds
155,Iquique,CL,2021-09-17 14:55:13,-20.2208,-70.1431,60.84,66,89,6.49,overcast clouds
156,Khandyga,RU,2021-09-17 14:55:24,62.6667,135.6,52.11,72,100,5.3,overcast clouds
157,Hermanus,ZA,2021-09-17 14:54:37,-34.4187,19.2345,71.91,63,0,21.25,clear sky
158,Yumen,CN,2021-09-17 14:57:22,40.2833,97.2,69.28,30,85,15.59,overcast clouds
159,Namatanai,PG,2021-09-17 14:57:48,-3.6667,152.4333,78.64,83,49,7.29,scattered clouds
160,Severo-Kurilsk,RU,2021-09-17 14:54:42,50.6789,156.125,48.69,81,100,9.1,overcast clouds
161,Cao Bang,VN,2021-09-17 14:58:39,22.6667,106.25,75.58,99,60,2.1,broken clouds
162,Ahuimanu,US,2021-09-17 14:58:40,21.4447,-157.8378,76.86,80,88,18.16,overcast clouds
163,Noumea,NC,2021-09-17 14:58:40,-22.2763,166.4572,58.98,58,42,5.01,scattered clouds
164,Nantucket,US,2021-09-17 14:58:40,41.2835,-70.0995,75.31,88,75,13.8,broken clouds
165,Shakhovskaya,RU,2021-09-17 14:58:41,56.0283,35.5097,46.31,54,99,7.85,overcast clouds
166,Niceville,US,2021-09-17 14:58:18,30.5169,-86.4822,78.93,94,75,9.22,thunderstorm
167,Huarmey,PE,2021-09-17 14:57:53,-10.0681,-78.1522,67.3,70,99,10.49,overcast clouds
168,Clyde River,CA,2021-09-17 14:56:06,70.4692,-68.5914,32.23,69,90,3.44,overcast clouds
169,Sobolevo,RU,2021-09-17 14:58:41,54.4299,31.8996,42.75,89,100,11.45,light rain
170,Sulangan,PH,2021-09-17 14:58:41,11.1373,123.7228,82.56,75,100,2.53,overcast clouds
171,Caravelas,BR,2021-09-17 14:57:48,-17.7125,-39.2481,80.85,47,0,9.13,clear sky
172,Guerrero Negro,MX,2021-09-17 14:54:56,27.9769,-114.0611,70.88,76,84,14.99,broken clouds
173,Port Elizabeth,ZA,2021-09-17 14:51:26,-33.918,25.5701,64.69,52,20,9.22,few clouds
174,Pandan,PH,2021-09-17 14:58:42,14.0453,124.1694,78.96,88,60,6.15,light rain
175,Mayor Pablo Lagerenza,PY,2021-09-17 14:58:42,-19.9309,-60.7718,93.07,25,23,5.91,few clouds
176,Shakawe,BW,2021-09-17 14:58:43,-18.3667,21.85,95.31,7,2,7.2,clear sky
177,Lorengau,PG,2021-09-17 14:54:20,-2.0226,147.2712,81.68,76,10,9.51,clear sky
178,Krasnoselkup,RU,2021-09-17 14:58:43,65.7,82.4667,44.91,96,100,20.74,moderate rain
179,Zhangjiakou,CN,2021-09-17 14:57:56,40.81,114.8794,61.68,77,51,4.38,broken clouds
180,Port Shepstone,ZA,2021-09-17 14:57:44,-30.7414,30.455,62.94,66,43,25.68,scattered clouds
181,Arraial Do Cabo,BR,2021-09-17 14:54:50,-22.9661,-42.0278,75.16,68,75,11.5,broken clouds
182,Suzaka,JP,2021-09-17 14:58:44,36.65,138.3167,68.11,86,100,1.99,moderate rain
183,Pevek,RU,2021-09-17 14:56:24,69.7008,170.3133,32.31,100,100,7.11,snow
184,Tuktoyaktuk,CA,2021-09-17 14:55:16,69.4541,-133.0374,41.0,93,75,12.66,broken clouds
185,Kerchevskiy,RU,2021-09-17 14:58:44,59.946,56.2884,41.07,76,100,6.44,overcast clouds
186,Bethel,US,2021-09-17 14:56:53,41.3712,-73.414,71.47,92,100,1.99,overcast clouds
187,Bubaque,GW,2021-09-17 14:58:45,11.2833,-15.8333,81.07,77,84,12.55,broken clouds
188,Hamilton,US,2021-09-17 14:55:43,39.1834,-84.5333,80.2,84,0,1.01,clear sky
189,Chicama,PE,2021-09-17 14:58:45,-7.8447,-79.1469,59.54,62,71,7.94,broken clouds
190,Lamu,KE,2021-09-17 14:58:45,-2.2717,40.902,77.2,75,9,13.11,clear sky
191,Dingle,PH,2021-09-17 14:55:52,10.9995,122.6711,75.16,92,64,3.44,broken clouds
192,Roebourne,AU,2021-09-17 14:56:21,-20.7833,117.1333,73.74,44,0,5.79,light rain
193,Freeport,US,2021-09-17 14:58:46,40.6576,-73.5832,73.15,88,100,10.0,overcast clouds
194,Marsa Matruh,EG,2021-09-17 14:57:47,31.3525,27.2453,82.6,54,0,13.8,clear sky
195,Edd,ER,2021-09-17 14:57:20,13.9297,41.6925,90.91,58,28,15.55,scattered clouds
196,Lasa,IT,2021-09-17 14:57:34,46.6166,10.7002,72.34,56,36,1.34,scattered clouds
197,Upernavik,GL,2021-09-17 14:57:34,72.7868,-56.1549,30.09,87,93,10.25,light snow
198,Bongandanga,CD,2021-09-17 14:58:47,1.5,21.05,83.98,54,93,2.64,overcast clouds
199,Dunedin,NZ,2021-09-17 14:56:41,-45.8742,170.5036,42.8,83,66,3.0,broken clouds
200,Aklavik,CA,2021-09-17 14:55:02,68.2191,-135.0107,41.72,93,40,4.61,scattered clouds
